stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct,trade_profit
ONGC,2021-10-01,2021-11-16,146.05,157.55,30,7.874015748031496,15748.031496062991
ONGC,2021-10-08,2021-11-16,161.15,157.55,25,-2.233943530871855,-4467.88706174371
IOC,2020-12-31,2021-01-05,60.67,62.03,3,2.2416350749958784,4483.270149991757
TECHM,2022-10-31,2022-12-15,1062.0,1024.5,32,-3.531073446327684,-7062.146892655367
TCS,2022-02-18,2022-05-31,3798.9,3365.0,67,-11.421727342125354,-22843.454684250708
TCS,2022-08-03,2022-12-15,3337.0,3303.9,90,-0.9919089002097665,-1983.817800419533
GLENMARK,2020-04-29,2020-06-23,329.65,485.25,37,47.20157743060823,94403.15486121646
GLENMARK,2020-06-05,2020-06-23,402.5,485.25,12,20.559006211180126,41118.01242236025
TATACHEM,2020-06-05,2021-01-05,318.9,487.8,149,52.963311382878665,105926.62276575733
TATACHEM,2020-07-23,2021-01-05,307.4,487.8,115,58.68575146389071,117371.50292778142
TATACHEM,2020-08-24,2021-01-05,327.0,487.8,93,49.174311926605505,98348.62385321101
TATACHEM,2020-08-25,2021-01-05,337.1,487.8,92,44.70483536042716,89409.67072085432
TATACHEM,2020-10-01,2021-01-05,301.35,487.8,65,61.871577899452454,123743.15579890492
TATACHEM,2021-07-01,2021-10-14,724.0,1084.25,72,49.758287292817684,99516.57458563536
TATACHEM,2021-09-29,2021-10-14,935.0,1084.25,11,15.962566844919786,31925.133689839575
COFORGE,2020-07-08,2020-10-09,1542.0,2470.0,66,60.18158236057069,120363.16472114137
COFORGE,2020-07-09,2020-10-09,1570.0,2470.0,65,57.324840764331206,114649.68152866242
BEL,2019-11-01,2020-03-30,40.1,24.13,103,-39.82543640897756,-79650.87281795513
BEL,2020-01-15,2020-03-30,34.75,24.13,52,-30.561151079136696,-61122.30215827339
BEL,2020-01-16,2020-03-30,35.2,24.13,51,-31.448863636363644,-62897.72727272729
BEL,2020-07-08,2020-08-11,34.45,35.35,24,2.6124818577648723,5224.963715529744
PNB,2021-10-01,2021-10-19,40.6,44.0,11,8.3743842364532,16748.7684729064
PNB,2022-09-14,2022-11-28,40.0,53.3,50,33.24999999999999,66499.99999999999
PNB,2022-09-15,2022-11-28,40.4,53.3,49,31.930693069306926,63861.38613861385
DALBHARAT,2020-11-11,2021-01-05,910.0,1118.3,37,22.890109890109887,45780.21978021977
BHARATFORG,2020-11-09,2020-11-11,494.15,498.3,2,0.8398259637761883,1679.6519275523767
BHARATFORG,2021-12-28,2022-06-01,702.6,694.0,105,-1.2240250498149763,-2448.0500996299525
BHARATFORG,2022-04-08,2022-06-01,746.2,694.0,35,-6.99544358080944,-13990.88716161888
HCLTECH,2020-10-08,2021-02-26,849.5,911.0,98,7.239552678045909,14479.105356091817
HCLTECH,2020-12-14,2021-02-26,873.05,911.0,52,4.346830078460575,8693.66015692115
HCLTECH,2021-04-08,2021-09-27,1037.15,1299.0,116,25.247071301161828,50494.142602323656
HCLTECH,2021-08-04,2021-09-27,1040.7,1299.0,36,24.81983280484289,49639.66560968578
HCLTECH,2021-12-27,2022-05-31,1267.0,1039.35,105,-17.967640094711925,-35935.28018942385
HCLTECH,2022-06-02,2022-10-25,1039.0,1030.6,99,-0.8084696823869192,-1616.9393647738384
TRENT,2019-12-19,2020-06-04,517.0,557.0,112,7.7369439071566735,15473.887814313348
NMDC,2019-12-24,2020-01-21,124.9,134.4,19,7.606084867894316,15212.16973578863
