stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
VEDL,2022-11-02,2022-11-04,296.45,322.6,2,8.821049080789352
VEDL,2023-05-23,2023-05-25,288.5,296.25,2,2.68630849220104
VEDL,2023-07-14,2023-07-18,285.75,281.65,4,-1.4348206474190806
VEDL,2023-11-03,2023-11-07,232.2,237.45,4,2.260981912144703
BALRAMCHIN,2021-12-28,2022-01-04,344.9,426.25,7,23.586546825166725
BALRAMCHIN,2022-01-13,2022-01-20,443.0,453.05,7,2.268623024830702
BALRAMCHIN,2023-03-08,2023-03-15,400.75,387.0,7,-3.4310667498440424
BALRAMCHIN,2023-11-06,2023-11-12,430.3,437.0,6,1.557053218684636
BALRAMCHIN,2023-11-20,2023-11-28,444.95,469.5,8,5.517473873468932
ABBOTINDIA,2022-10-27,2023-01-09,18855.7,22317.05,74,18.357048531743708
ABBOTINDIA,2022-11-01,2023-01-12,19655.45,22098.9,72,12.431412152863459
ABBOTINDIA,2022-12-01,2022-12-05,20430.9,20100.0,4,-1.6196055974039392
LUPIN,2021-12-14,2021-12-17,946.0,873.0,3,-7.716701902748414
LUPIN,2022-01-13,2022-01-14,957.3,950.05,1,-0.7573383474354957
LUPIN,2022-10-03,2022-10-20,721.0,677.65,17,-6.012482662968103
LUPIN,2023-01-10,2023-01-25,759.0,746.9,15,-1.5942028985507277
LUPIN,2023-04-12,2023-04-17,676.65,658.5,5,-2.682332077144754
LUPIN,2023-04-18,2023-07-12,698.0,940.35,85,34.72063037249284
LUPIN,2023-09-05,2023-12-01,1121.0,1300.0,87,15.967885816235505
LUPIN,2023-11-30,2023-12-06,1285.0,1244.0,6,-3.1906614785992216
LTTS,2023-04-27,2023-07-19,3718.0,4136.4,83,11.253362022592782
LTTS,2023-11-29,2024-01-12,4671.1,5458.5,44,16.856843141872353
ATUL,2021-12-09,2021-12-10,9087.5,8899.95,1,-2.0638239339752324
ATUL,2022-03-11,2022-03-28,9500.0,10600.0,17,11.578947368421053
ATUL,2022-03-25,2022-04-08,10250.0,9990.0,14,-2.5365853658536586
ATUL,2022-07-11,2022-07-25,8520.4,8669.95,14,1.755199286418491
ATUL,2022-07-22,2022-08-05,8644.5,9394.0,14,8.67025276187171
ATUL,2023-08-25,2023-09-08,6939.0,7530.0,14,8.51707738867272
ATUL,2023-08-29,2023-09-12,7215.0,7327.3,14,1.556479556479559
INDIAMART,2023-03-21,2023-05-04,2548.0,3033.0,44,19.03453689167975
INDIAMART,2023-04-11,2023-05-22,2570.62,2787.5,41,8.436875150741848
ACC,2022-07-29,2022-09-15,2224.8,2741.0,48,23.202085580726347
ACC,2024-01-02,2024-01-12,2265.2,2334.5,10,3.0593325092707127
PEL,2022-01-03,2022-01-07,2683.05,2576.0,4,-3.9898622835951683
PEL,2022-08-11,2022-08-30,1908.0,1076.05,19,-43.60324947589099
PEL,2023-04-28,2023-07-25,736.4,1005.1,88,36.4883215643672
PEL,2023-05-23,2023-08-17,773.7,1061.05,86,37.13971823704277
BEL,2022-01-14,2022-01-19,73.75,69.42,5,-5.871186440677964
BEL,2022-07-21,2022-09-22,89.53,110.15,63,23.031386127555013
BEL,2023-07-11,2023-09-08,127.5,143.25,59,12.352941176470589
BEL,2023-07-28,2023-08-02,130.0,125.45,5,-3.4999999999999973
MFSL,2022-01-03,2022-01-18,1016.0,1012.15,15,-0.378937007874018
MFSL,2022-05-26,2022-06-10,766.0,830.8,15,8.459530026109654
MFSL,2022-05-31,2022-06-15,796.0,824.0,15,3.5175879396984926
MFSL,2022-06-08,2022-06-16,826.65,801.55,8,-3.0363515393455542
MFSL,2023-06-21,2023-07-07,741.0,801.75,16,8.19838056680162
MFSL,2023-11-08,2023-11-23,934.85,972.75,15,4.054126330427339
MFSL,2023-11-28,2023-12-13,1008.95,1057.0,15,4.762376728281873
SHRIRAMFIN,2022-04-08,2022-04-18,1211.25,1165.1,10,-3.8101135190918547
SHRIRAMFIN,2023-05-29,2023-07-31,1408.0,1891.0,63,34.30397727272727
SHRIRAMFIN,2023-09-08,2023-09-12,1955.0,1894.0,4,-3.1202046035805626
SHRIRAMFIN,2023-11-15,2023-11-23,2036.95,1973.5,8,-3.114951275190851
SHRIRAMFIN,2023-12-14,2023-12-20,2124.95,1994.0,6,-6.162497941128018
SHRIRAMFIN,2024-01-04,2024-01-12,2151.0,2289.0,8,6.4156206415620645
SHRIRAMFIN,2024-01-11,2024-01-12,2270.55,2289.0,1,0.8125784501552406
LALPATHLAB,2023-05-12,2023-06-20,2059.0,2220.0,39,7.819329771733852
LALPATHLAB,2023-06-19,2023-07-27,2123.0,2494.0,38,17.47527084314649
ASIANPAINT,2021-12-10,2022-01-12,3279.0,3547.0,33,8.173223543763344
ASIANPAINT,2022-07-06,2022-08-08,2867.0,3461.1,33,20.72200906871294
ASIANPAINT,2022-09-27,2022-09-29,3470.0,3402.0,2,-1.9596541786743515
ASIANPAINT,2022-11-30,2022-12-15,3183.35,3122.9,15,-1.8989429374715256
MANAPPURAM,2022-10-12,2022-12-06,104.2,122.5,55,17.562380038387712
MANAPPURAM,2023-07-26,2023-09-18,135.2,143.8,54,6.360946745562147
BAJFINANCE,2022-01-03,2022-01-24,7225.0,6904.75,21,-4.432525951557094
BAJFINANCE,2022-09-13,2022-09-16,7394.0,7277.7,3,-1.572896943467679
BAJFINANCE,2023-04-25,2023-07-04,6071.0,7870.0,70,29.632679953879098
HEROMOTOCO,2022-01-10,2022-02-03,2581.0,2764.0,24,7.090275087175513
HEROMOTOCO,2022-04-26,2022-05-20,2401.9,2587.0,24,7.7063991007119315
HEROMOTOCO,2022-05-06,2022-05-31,2570.0,2790.0,25,8.560311284046692
HEROMOTOCO,2022-05-27,2022-06-03,2716.2,2581.85,7,-4.946248435314039
HEROMOTOCO,2022-06-23,2022-07-18,2675.0,2820.95,25,5.456074766355133
HEROMOTOCO,2022-11-28,2022-12-21,2771.9,2754.2,23,-0.6385511742847965
CUMMINSIND,2022-10-27,2022-12-14,1259.6,1495.0,48,18.68847253096222
CUMMINSIND,2023-06-13,2023-07-31,1847.0,1966.1,48,6.448294531672978
CUMMINSIND,2023-07-28,2023-08-02,1952.0,1895.6,5,-2.8893442622950865
LAURUSLABS,2023-06-13,2023-06-30,361.0,366.1,17,1.4127423822714744
LAURUSLABS,2023-12-07,2023-12-26,390.0,435.0,19,11.538461538461538
LAURUSLABS,2023-12-18,2024-01-04,399.0,432.4,17,8.370927318295733
LAURUSLABS,2023-12-22,2024-01-10,415.8,419.0,19,0.7696007696007668
DALBHARAT,2022-11-03,2022-12-01,1656.9,1902.85,28,14.843985756533273
DALBHARAT,2022-11-30,2022-12-27,1825.9,1864.3,27,2.1030724574182518
DALBHARAT,2023-05-08,2023-06-02,2088.0,2134.5,25,2.227011494252874
DALBHARAT,2023-05-30,2023-06-09,2131.1,2098.85,10,-1.5133029890666794
DALBHARAT,2023-06-14,2023-07-07,2195.5,2145.0,23,-2.3001594169892963
DALBHARAT,2023-09-01,2023-09-29,2132.75,2401.05,28,12.580002344391053
DALBHARAT,2023-09-06,2023-10-05,2301.1,2261.0,29,-1.7426448220416284
DALBHARAT,2023-09-11,2023-09-20,2361.95,2315.0,9,-1.987764347255438
DALBHARAT,2024-01-05,2024-01-09,2387.0,2318.0,4,-2.8906577293674065
INDHOTEL,2022-03-23,2022-05-02,216.1,261.0,40,20.777417862100883
