stock,Monday,Tuesday,Wednesday,Thursday,Friday
HINDCOPPER,-95.15389651889478,138.62191429839606,-7.691649502571373,115.2087900964629,1.6627741980734227
HINDPETRO,-68.2382080897299,65.30525205457987,-12.989349932079252,39.259334033927075,21.913529144918932
HINDUNILVR,-12.461738306848547,42.716423825039584,40.061490646501916,-18.244468341529707,37.02673460799372
IBULHSGFIN,-105.52398863989069,40.29836421270056,35.129901954989364,88.91894226505877,-35.12222767681818
ICICIBANK,-19.09332865665375,111.51484774385182,19.344394845810232,4.686022062810235,18.76352432946451
ICICIGI,-91.50756462327134,77.47583431428033,4193.377059927291,80.98386601618603,31.178856266202114
ICICIPRULI,-135.9611445758677,78.39452606499056,-10.908336068437555,1.6426426531647298,38.338867559998015
IDEA,-54.319495118141326,-120.08420244202651,11.51012675584509,-6.1946749879357235,191.39568620911396
IDFC,-144.61000332297309,50.653844847274065,35.123461809775804,20.493138529464417,79.72384390240138
IDFCFIRSTB,-166.90466301753239,40.57733035017762,83.0189820364726,-6.726010140962891,59.223201021890446
IEX,-67.23065962163028,67.32697205741577,7.217334586943524,50.52438800233645,6.341564928434062
IGL,-80.18298222329109,114.70619076549372,-9.55642831001856,17.349829645970704,-17.340770755072413
INDHOTEL,-83.56322231973783,70.90709332670222,61.7524761380361,28.903756972948567,0.7339894013183126
INDIACEM,-232.32821315276325,88.42233007251752,41.73226829334048,49.35016516423012,46.01183079834649
INDIAMART,-56.6897164643118,57.95905505277387,40.62871951552441,-6.968809041534545,83.51924665132374
INDIAVIX,927.2759008081432,-180.93314443066834,14.990272256533727,-415.383673329176,-215.06176334159514
INDIGO,-98.31298426587068,90.47480055541307,34.93904193059102,53.26372171435426,-6.042181917391288
INDUSINDBK,1021.5062874779836,75.86091651992615,15.203138636673366,62.84074965624105,-0.08212219318976244
INDUSTOWER,117.48973919746666,12.978919466409986,-66.56314381836152,45.35930105602428,51.71333902085327
INFY,-36.99446446687808,39.897675648865295,11.58599631591455,34.51140864818352,24.284340825675777
INTELLECT,-78.56002956921895,68.96018027028538,59.77109287932674,95.25340316896194,31.343702113753842
IOC,-61.566721681390085,33.99828691992438,-14.901119245323956,35.62667091291265,0.07983587794427649
IPCALAB,-78.11646950352078,111.55866728673125,-19.024718441898372,48.78678315258785,38.557389124921855
IRCTC,-35.24355025211032,85.00260693821677,-21.193013590582808,47.83030105641848,52.80677745011359
ITC,-154.5644278291206,13.59649018602328,29.14769956541432,35.051093114691724,38.09695786071994
JINDALSTEL,-67.13276620041847,189.12805895994745,-13.304240356152294,114.05405576816668,-31.96956369527021
JKCEMENT,543.7522274649167,83.1415107114156,48.46794388515091,8.672713497761885,29.2075253189883
JSWSTEEL,-124.99884735691717,124.7986509916693,32.942683343295464,90.34968842595032,13.681528658439042
JUBLFOOD,-98.4947529909419,82.14394590389035,-44.85083385709899,105.12323655935893,66.72378971116044
KOTAKBANK,-96.68276309895622,48.45527197793285,11.158971381271767,7.1188969177660475,62.81040198207124
LALPATHLAB,73.26582092698918,10.66642746519543,69.06846617119237,31.56431455768811,-12.239526923853814
LAURUSLABS,-114.27920557270431,56.956299192826776,57.88418660952713,46.57576606979139,30.65892031177514
