stock,year,Monday,Tuesday,Wednesday,Thursday,Friday
MUTHOOTFIN,2024,1.569713758079412,0.919067215363518,-0.4671947999187549,-2.15315730559031,-1.7967265575519216
NATIONALUM,2017,20.417633410672835,22.95081967213116,21.099554234769695,26.131386861313878,27.44807121661721
NATIONALUM,2018,-23.000583771161708,-24.269005847953213,-26.724637681159418,-28.563316297558206,-26.590257879656164
NATIONALUM,2019,-31.137254901960787,-33.587204874333594,-33.594361785434614,-30.750798722044724,-32.10937499999999
NATIONALUM,2020,-2.4054982817869353,-4.659090909090902,-3.9351851851851913,-6.304347826086953,-4.17124039517014
NATIONALUM,2021,113.107822410148,116.45021645021643,107.26315789473684,102.06611570247934,127.42663656884878
NATIONALUM,2022,-28.128031037827355,-22.43495336278841,-23.71732817037754,-24.619047619047613,-26.8724466636405
NATIONALUM,2023,38.47072879330944,39.638554216867476,45.600991325898384,58.43520782396088,62.93103448275863
NATIONALUM,2024,-8.407079646017692,-7.819225251076044,0.34615384615383743,0.4975124378109496,2.4133904242896245
NAUKRI,2017,24.271844660194176,25.128809068158393,28.27586206896552,27.115750451197506,33.65384615384615
NAUKRI,2018,4.298494435958972,15.925925925925927,12.18008246350433,8.546384222059897,2.112676056338028
NAUKRI,2019,57.3810994441013,76.98257839721254,83.78947368421052,68.82510013351136,64.02555910543131
NAUKRI,2020,84.05797101449275,85.6751375115825,87.23070896983941,88.89655852480031,80.6577947508914
NAUKRI,2021,11.545300417648754,-1.4822848879248012,3.8056295169265955,3.6603773584905657,16.92115301758111
NAUKRI,2022,-30.7651340315995,-29.871520342612417,-30.118574262357782,-29.57114659967701,-30.373665480427047
NAUKRI,2023,32.51470964441033,29.78343038103995,34.1319948237324,37.852348993288594,39.051490514905154
NAUKRI,2024,0.52734375,1.8370731707317,2.9093768429329665,1.6489988221436984,0.7758784425451162
NAVINFLUOR,2017,17.682119205298005,44.307061623909014,36.207180500658744,36.00264725347452,37.49586229725255
NAVINFLUOR,2018,-15.681544028950542,-12.672413793103447,-13.826049435985944,-15.723844282238442,-15.480535279805352
NAVINFLUOR,2019,48.98550724637681,45.58159848595138,38.57142857142858,47.360912981455066,44.714285714285715
NAVINFLUOR,2020,163.64562118126273,151.1961722488038,160.775,159.98510427010925,162.79349789283563
NAVINFLUOR,2021,61.3745600423873,62.02099236641221,52.45009074410163,47.549715909090914,58.573596358118365
NAVINFLUOR,2022,-1.802422227499398,-0.145985401459854,0.5169513378111269,0.17980295566502913,2.2382725802204417
NAVINFLUOR,2023,-5.953827460510328,-5.507444168734487,-2.408690575902944,-2.5920422651477675,-0.48721858926309564
NAVINFLUOR,2024,-6.406815264324897,-9.34990934990935,-9.87741935483871,-7.065647244924862,-7.49475890985325
NESTLEIND,2017,17.320503330866025,14.228573931068716,11.525936599423632,11.477305579647311,14.396036718636177
NESTLEIND,2018,40.82487309644671,40.56831155651401,37.09923664122136,39.07426246185149,43.62778840025494
NESTLEIND,2019,37.92493049119555,34.35106866757617,28.34243850633163,29.542967464123343,35.208860642562875
