stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
SUNPHARMA,2018-01-24,2018-02-01,587.1,555.55,5,-5.37387157213423
GLENMARK,2018-01-24,2018-02-01,638.5,588.0,5,-7.909162098668755
MARUTI,2018-01-29,2018-02-02,9612.45,8995.0,4,-6.4234404340204705
BPCL,2018-01-30,2018-02-21,480.9,447.5,15,-6.945310875441875
ZYDUSLIFE,2018-01-30,2018-02-01,425.0,417.7,2,-1.7176470588235322
NAUKRI,2018-01-31,2018-02-06,1350.0,1200.0,4,-11.11111111111111
APOLLOHOSP,2018-01-31,2018-03-13,1162.0,1096.5,27,-5.636833046471601
IPCALAB,2018-01-31,2018-05-18,287.5,347.62,72,20.91130434782609
BAJAJ-AUTO,2018-02-01,2018-02-19,3417.65,3030.25,11,-11.335274238146097
SBILIFE,2018-02-01,2018-02-22,708.0,665.7,14,-5.974576271186434
AMBUJACEM,2018-02-01,2018-02-05,265.5,259.95,2,-2.090395480225993
MRF,2018-02-01,2018-03-16,71776.9,70257.7,29,-2.116558391348745
HEROMOTOCO,2018-02-02,2018-02-22,3620.0,3471.05,13,-4.114640883977896
BOSCHLTD,2018-02-05,2018-02-26,20000.0,19070.1,14,-4.649500000000007
POWERGRID,2018-02-05,2018-06-04,110.72,114.22,80,3.1611271676300583
PIDILITIND,2018-02-05,2018-06-15,874.7,1085.0,89,24.042528867040122
EICHERMOT,2018-02-07,2018-05-04,2790.53,2920.0,57,4.639620430527526
AMBUJACEM,2018-02-20,2018-03-07,265.7,235.2,10,-11.479111780203237
INDUSTOWER,2018-02-26,2018-04-17,344.55,334.0,33,-3.061964881729796
INFY,2018-02-28,2018-04-03,584.92,569.7,21,-2.602065239690883
GODREJCP,2018-02-28,2018-05-15,711.4,718.73,50,1.0303626651672817
ZEEL,2018-03-06,2018-05-21,556.7,551.1,51,-1.0059277887551683
RELIANCE,2018-03-06,2018-03-20,900.17,884.12,10,-1.7829965450970324
MARUTI,2018-03-06,2018-04-26,8624.0,8945.0,35,3.7221706864564004
BERGEPAINT,2018-03-07,2018-08-29,204.75,285.0,120,39.1941391941392
M&M,2018-03-07,2018-05-21,707.2,822.1,50,16.247171945701353
RAMCOCEM,2018-03-07,2018-05-31,729.75,766.0,58,4.967454607742377
EXIDEIND,2018-03-08,2018-06-15,209.2,250.95,68,19.95697896749522
JKCEMENT,2018-03-08,2018-04-06,1023.0,976.0,19,-4.594330400782014
FEDERALBNK,2018-03-08,2018-04-04,93.25,91.55,17,-1.8230563002680995
DABUR,2018-03-08,2018-03-13,328.8,325.6,3,-0.9732360097323567
HAVELLS,2018-03-08,2018-08-30,502.55,720.0,120,43.269326435180574
JUBLFOOD,2018-03-09,2018-08-31,204.7,309.56,120,51.22618466047876
ITC,2018-03-12,2018-04-03,269.9,259.1,14,-4.001482030381606
ATUL,2018-03-12,2018-05-21,2705.1,2787.0,47,3.027614505933241
TITAN,2018-03-13,2018-05-21,852.05,915.25,46,7.417405081861399
DIVISLAB,2018-03-13,2018-05-21,1047.05,1133.3,46,8.237428967098037
ICICIGI,2018-03-13,2018-03-16,826.85,770.0,3,-6.875491322488966
LAURUSLABS,2018-03-13,2018-03-21,108.62,101.8,6,-6.278770023936667
TCS,2018-03-13,2018-03-15,1443.05,1433.45,2,-0.6652576140812799
GUJGASLTD,2018-03-14,2018-03-20,165.58,166.91,4,0.8032371059306582
ACC,2018-03-14,2018-03-19,1616.45,1571.1,3,-2.8055306381267675
INDHOTEL,2018-03-15,2018-03-20,132.9,129.0,3,-2.9345372460496657
AUBANK,2018-03-15,2018-07-02,299.58,332.05,74,10.838507243474208
WIPRO,2018-03-15,2018-05-03,219.94,203.63,32,-7.4156588160407395
NTPC,2018-03-16,2018-05-09,137.5,141.83,35,3.1490909090909183
ULTRACEMCO,2018-03-16,2018-03-20,4040.5,3946.05,2,-2.3375819824279125
TATACOMM,2018-03-16,2018-04-26,627.25,622.7,27,-0.7253886010362621
HCLTECH,2018-03-16,2018-05-11,481.1,466.35,37,-3.065890667220952
HEROMOTOCO,2018-03-16,2018-03-23,3542.0,3415.0,5,-3.585544889892716
ASIANPAINT,2018-03-16,2018-06-20,1121.15,1270.6,65,13.330062881862355
TATACONSUM,2018-03-19,2018-03-23,260.65,258.2,4,-0.939957797813155
DLF,2018-03-19,2018-03-23,214.0,202.2,4,-5.51401869158879
SHREECEM,2018-03-19,2018-05-10,16001.3,16130.0,35,0.804309649840955
BATAINDIA,2018-03-19,2018-05-21,678.75,746.2,42,9.937384898710873
MARICO,2018-03-20,2018-05-21,319.0,310.0,41,-2.8213166144200628
SRF,2018-03-20,2018-05-18,382.2,383.8,40,0.41862899005756743
SBILIFE,2018-03-21,2018-05-15,675.0,679.05,36,0.5999999999999932
M&MFIN,2018-03-21,2018-05-15,274.34,293.88,36,7.12254866224394
TECHM,2018-03-23,2018-05-14,622.1,664.6,33,6.831699083748593
MANAPPURAM,2018-03-23,2018-05-18,105.8,113.45,37,7.230623818525525
BAJFINANCE,2018-03-26,2018-05-09,1744.45,1848.0,29,5.93596835678867
HDFCBANK,2018-03-26,2018-06-20,948.03,1028.0,59,8.435387065810158
APOLLOTYRE,2018-03-27,2018-05-21,275.9,275.5,36,-0.14498006524102114
DABUR,2018-03-27,2018-07-06,324.15,370.35,70,14.252660805182801
BAJAJFINSV,2018-03-27,2018-07-02,526.6,576.3,66,9.437903532092657
MRF,2018-03-27,2018-05-08,72650.1,75700.0,27,4.198067174030035
NESTLEIND,2018-03-27,2018-09-12,813.61,1043.0,116,28.194097909317726
IBULHSGFIN,2018-03-28,2018-05-04,1238.45,1253.15,24,1.1869675804432998
GUJGASLTD,2018-03-28,2018-06-05,166.21,165.82,46,-0.23464292160520714
GLENMARK,2018-03-28,2018-05-04,524.0,535.35,24,2.1660305343511497
KOTAKBANK,2018-04-02,2018-07-26,1095.0,1310.55,82,19.68493150684931
OFSS,2018-04-02,2018-05-15,3926.65,3942.0,30,0.3909184673958695
SIEMENS,2018-04-03,2018-04-20,1125.0,1071.75,13,-4.733333333333333
VOLTAS,2018-04-03,2018-05-10,647.05,601.5,26,-7.039641449656125
LUPIN,2018-04-04,2018-05-11,777.0,752.4,26,-3.1660231660231695
ASHOKLEY,2018-04-04,2018-05-16,146.2,152.85,29,4.5485636114911125
ICICIPRULI,2018-04-04,2018-05-24,390.75,404.4,35,3.493282149712086
MGL,2018-04-05,2018-04-17,1012.2,895.5,8,-11.529342027267342
ABCAPITAL,2018-04-05,2018-05-14,155.5,149.7,26,-3.729903536977499
FEDERALBNK,2018-04-06,2018-05-10,97.05,89.5,23,-7.779495105615659
AXISBANK,2018-04-09,2018-06-18,517.4,522.5,49,0.9856977193660654
TORNTPHARM,2018-04-09,2018-05-21,650.5,667.4,29,2.598001537279013
NMDC,2018-04-10,2018-05-08,123.6,119.6,19,-3.2362459546925573
PETRONET,2018-04-11,2018-05-03,235.55,218.0,15,-7.450647420929743
BSOFT,2018-04-12,2018-08-24,226.35,287.9,93,27.19240114866357
INFY,2018-04-12,2018-10-05,582.5,722.5,120,24.034334763948497
