stock,buy_date,sell_date,buy_price,sell_price,hold_days,profit_loss_pct
TVSMOTOR,2021-03-19,2021-08-10,589.9,557.05,96,-5.5687404644855105
TVSMOTOR,2021-04-16,2021-08-10,550.0,557.05,79,1.2818181818181735
INDHOTEL,2020-04-15,2020-08-31,81.35,102.8,96,26.367547633681625
INDHOTEL,2020-10-14,2020-10-30,96.3,95.4,12,-0.9345794392523277
INDHOTEL,2021-02-26,2021-03-25,122.8,103.0,18,-16.123778501628664
INDHOTEL,2021-03-31,2021-04-12,110.3,104.6,7,-5.1677243880326404
VOLTAS,2021-10-29,2022-03-07,1201.5,1146.0,87,-4.619225967540574
VOLTAS,2022-11-17,2023-02-23,823.9,905.0,69,9.84342760043695
VOLTAS,2023-01-30,2023-02-23,778.0,905.0,18,16.323907455012854
VOLTAS,2023-05-22,2023-08-18,809.6,809.3,62,-0.03705533596838787
HINDPETRO,2020-08-06,2020-11-06,216.6,204.3,65,-5.678670360110796
HINDPETRO,2022-03-22,2022-04-12,280.4,289.15,15,3.1205420827389445
CHAMBLFERT,2020-03-25,2020-09-07,104.0,142.2,112,36.73076923076922
SBICARD,2023-03-29,2023-09-21,720.0,800.0,118,11.11111111111111
HINDALCO,2021-11-23,2022-04-29,450.9,483.4,108,7.207806609004214
HINDALCO,2022-10-20,2022-11-16,396.7,446.2,17,12.47794302999748
ASHOKLEY,2021-12-31,2022-02-14,122.8,123.7,30,0.7328990228013076
ASHOKLEY,2022-09-30,2022-12-23,152.85,137.5,57,-10.042525351651943
BPCL,2020-04-03,2020-08-14,317.0,413.0,90,30.28391167192429
BPCL,2020-08-20,2020-08-31,411.8,405.75,7,-1.4691597863040338
BPCL,2021-04-22,2021-09-17,417.6,435.0,102,4.166666666666661
BPCL,2021-07-19,2021-09-17,455.2,435.0,41,-4.437609841827766
BPCL,2022-05-17,2022-12-06,342.5,328.5,139,-4.087591240875913
MANAPPURAM,2023-05-23,2023-05-30,111.45,111.05,5,-0.35890533871691854
